# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Apr 28 12:19:14 PDT 2020 [seed=1588101533653]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	exponential.popSize	exponential.growthRate	clock.rate	meanRate	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	treeLikelihood	branchRates	location.traitLikelihood	coalescent
0	-46499.63502180702	-55.97926902108274	-46443.65575278594	1.7253834752724408	1.0	0.0	1.0	1.0	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	8951.865519876977	-1467.7388342484235	0.0	-44975.916918537514	-49.4794979005582
10000	-983.321268385133	-31.27019007283115	-952.0510783123018	0.16958469598482268	0.6833361329724559	2.0331094993847474	1.0	1.0	7.312574476845002E-4	2.0689369768787244E-4	2.0689369768787244E-4	0.0013401436725690719	-0.2089952570475344	1429.9669929011404	-220.760777212621	-220.76077721262104	780.2700821602193	18971.822453363315	-635.889714962707	0.0	-316.16136334959475	-25.611118769712135
20000	-887.8857196700161	-11.960375198547972	-875.9253444714682	0.12104761293961012	0.49676507455550317	1.0534809532533511	1.0	1.0	0.0015974610932022975	5.834737575903958E-5	5.834737575903958E-5	9.952308098831043E-4	-0.04627477087151441	627.3366868980052	-36.7788547484459	-36.7788547484459	1006.9482774309436	23876.70063497704	-570.4824240990648	0.0	-305.44292037240336	-6.884339679173783
30000	-877.3037680176435	-21.809498582790162	-855.4942694348533	0.38251243921421196	0.5970470536429995	0.017935402547778034	1.0	1.0	6.80500162230033E-4	1.4778125200511313E-4	1.4778125200511313E-4	8.100378345738485E-4	-0.19904559601574745	1530.129805801594	-279.1530083908509	-279.1530083908509	1285.4382062645077	15530.67503695656	-556.8260621151414	0.0	-298.6682073197118	-17.803161668246315
40000	-862.4205637075479	-16.693511638401144	-845.7270520691468	0.35817852949050155	0.47154546107367956	-1.1521015553718723	1.0	1.0	0.0010637842619072363	3.597587969851811E-4	3.597587969851811E-4	8.721514004607425E-4	-0.3734983612090494	1092.4361981982079	-450.62535270737374	-450.62535270737374	1332.4709840139012	18100.94833121934	-548.6220797621593	0.0	-297.10497230698746	-11.863264906930935
50000	-880.4543515399527	-15.91328890747393	-864.5410626324788	0.6337829950230984	0.5321054984996518	1.1206971944751989	1.0	1.0	7.410831395161889E-4	-2.4309163383642057E-4	-2.4309163383642057E-4	6.697279787556156E-4	0.3450542055184967	1531.7501192081643	555.9804143158213	555.9804143158212	1694.948133130484	15065.765284568723	-560.1660306538163	0.0	-304.3750319786625	-12.160066710982242
60000	-879.3953152663497	-22.454870945916777	-856.9404443204329	0.3437458039819211	0.5682679826110651	4.608979875802634	1.0	1.0	0.0010062675467871955	-2.4712947131162077E-4	-2.4712947131162077E-4	7.665503431332278E-4	0.2813827473498269	1079.2200909593992	347.93160409729467	347.93160409729467	1416.7160227654124	15738.590027329485	-563.0725923546682	0.0	-293.86785196576466	-12.84316650206568
70000	-864.8896905071397	-24.015339363054398	-840.8743511440853	0.27131169536522814	0.5320527804023286	-0.10674775310554852	1.0	1.0	8.913036795728149E-4	8.375673419877829E-5	8.375673419877829E-5	0.0012785440632850473	-0.07846013219019202	1128.9015701150004	-73.95373492389776	-73.95373492389776	786.9843145911976	15432.625981948311	-552.8111870547837	0.0	-288.0631640893016	-17.890966359967365
80000	-888.7357421048066	-22.052021821858002	-866.6837202829486	0.36920643008673815	0.5297734518588981	-0.03909594521546422	1.0	1.0	6.068039150353106E-4	-4.443688370299233E-5	-4.443688370299233E-5	7.471450066083217E-4	0.06599590043314689	1655.1879231400899	98.44326415438614	98.44326415438614	1344.2832422048134	16085.279543586434	-561.9473432214332	0.0	-304.73637706151527	-16.46160933516602
90000	-870.6951285306991	-24.94483331545618	-845.7502952152429	2.721096265564702	0.5018355415883534	-0.3209248859192826	1.0	1.0	3.732011882234569E-4	-1.1915871637744497E-6	-1.1915871637744497E-6	3.002059675803576E-4	0.0035599561353439127	2679.55383049192	10.635771083405144	10.635771083405144	3331.088590637765	6451.595573074185	-556.3564169795628	0.0	-289.3938782356801	-17.314842328781605
100000	-869.7864743826183	-15.744176194425014	-854.0422981881933	0.27545468467496903	0.484650126833056	2.8003682809675183	1.0	1.0	9.613786071006174E-4	1.03414266805822E-4	1.03414266805822E-4	7.692804563072597E-4	-0.12025160473346432	1055.4349905728761	-141.88198181354684	-141.88198181354684	1318.9892097257866	17562.79407058545	-557.7269348816769	0.0	-296.31536330651636	-4.192817268368482
110000	-862.2398110775825	-17.851032081577177	-844.3887789960054	0.436092537945438	0.3625437767059489	2.8351547266658104	1.0	1.0	7.442511516424827E-4	7.810781741951797E-5	7.810781741951797E-5	7.197819814462801E-4	-0.10671716008053059	1359.1107561563022	-147.48517958376027	-147.48517958376027	1405.314069472169	15890.40637740266	-545.8609342339565	0.0	-298.5278447620489	-8.237733957841872
120000	-864.2300762057719	-15.928735849065479	-848.3013403567064	0.24219761771371975	0.49255543460724655	4.922710003520567	1.0	1.0	7.007215563421258E-4	-1.3056234324131178E-4	-1.3056234324131178E-4	0.0013297749596735834	0.13525586979485968	1453.6944864009001	142.72923183037375	142.72923183037375	766.0206379633197	19070.49446185727	-555.490796418538	0.0	-292.8105439381684	-4.678242565424667
130000	-862.0074378200865	-18.238005034602637	-843.7694327854838	0.13592007918251386	0.6218171036385559	3.1749245610689467	1.0	1.0	7.615230763590971E-4	1.6726772258625192E-4	1.6726772258625192E-4	0.0014361914984797302	-0.15994270399469562	1347.6325313030732	-156.95359889876988	-156.9535988987699	714.5657609906799	21203.891164251276	-548.6659092474592	0.0	-295.1035235380245	-8.56729150375331
140000	-857.617194381714	-14.587378872720462	-843.0298155089935	0.1630612527865406	0.429602992421246	1.2081020386216965	1.0	1.0	0.0011098048023397038	-1.9032120498896498E-4	-1.9032120498896498E-4	0.0014244024222649719	0.15137268942109186	922.190135467709	123.21822475706368	123.21822475706368	718.5125671051267	21207.349122347976	-544.7117925672794	0.0	-298.31802294171405	-7.765207105320653
