"","X","alpha","birthdate","deathdate","index","locx","locy","mutation_rate","mutations","parent_index","proliferation_rate","norm_locx","norm_locy","sampled"
"1",17,0.5,2.58333333333333,14.0416666666666,17,498,500,0.3,"[4, 8]",1,1,-3,-0.5,TRUE
"2",28,0.5,3.16666666666666,14.0416666666666,28,501,503,0.3,"[3]",9,1,0,2.5,TRUE
"3",48,0.5,3.99999999999999,14.0416666666666,48,504,498,0.3,"[0, 6, 9, 15, 23]",21,1,3,-2.5,TRUE
"4",49,0.5,3.99999999999999,14.0416666666666,49,502,506,0.3,"[3, 32, 40]",41,1,1,5.5,TRUE
"5",76,0.5,4.91666666666667,14.0416666666666,76,501,496,0.3,"[4, 12, 22, 26]",66,1,0,-4.5,TRUE
"6",101,0.5,5.41666666666667,14.0416666666666,101,502,504,0.3,"[3, 27]",72,1,1,3.5,TRUE
"7",110,0.5,5.62500000000001,14.0416666666666,110,503,502,0.3,"[0, 30]",29,1,2,1.5,TRUE
"8",115,0.5,5.70833333333334,14.0416666666666,115,504,504,0.3,"[0, 7, 31]",85,1,3,3.5,TRUE
"9",119,0.5,5.79166666666667,14.0416666666666,119,504,507,0.3,"[3, 29]",104,1,3,6.5,TRUE
"10",178,0.5,6.75000000000001,14.0416666666666,178,492,502,0.3,"[2, 5]",135,1,-9,1.5,TRUE
"11",190,0.5,6.91666666666668,14.0416666666666,190,498,496,0.3,"[4, 12, 20, 80]",65,1,-3,-4.5,TRUE
"12",255,0.5,7.79166666666669,14.0416666666666,255,503,492,0.3,"[4, 12, 22, 74]",226,1,2,-8.5,TRUE
"13",265,0.5,7.87500000000002,14.0416666666666,265,501,510,0.3,"[3, 69, 82]",205,1,0,9.5,TRUE
"14",267,0.5,7.91666666666669,14.0416666666666,267,501,511,0.3,"[3, 69, 82]",265,1,0,10.5,TRUE
"15",368,0.5,9.08333333333334,14.0416666666666,368,496,494,0.3,"[4, 12, 20, 80]",260,1,-5,-6.5,TRUE
"16",410,0.5,9.45833333333333,14.0416666666666,410,506,491,0.3,"[4, 12, 22, 64, 79, 93, 102]",334,1,5,-9.5,TRUE
"17",447,0.5,9.75,14.0416666666666,447,508,496,0.3,"[0, 6, 9, 15, 23, 70]",347,1,7,-4.5,TRUE
"18",468,0.5,9.95833333333333,14.0416666666666,468,501,514,0.3,"[3, 69, 82, 131, 160, 333]",449,1,0,13.5,TRUE
"19",495,0.5,10.3333333333333,14.0416666666666,495,489,496,0.3,"[2, 5, 53, 61, 72, 123, 147]",340,1,-12,-4.5,TRUE
"20",535,0.5,10.625,14.0416666666666,535,488,507,0.3,"[2, 5, 65]",474,1,-13,6.5,TRUE
"21",573,0.5,10.9583333333333,14.0416666666666,573,513,499,0.3,"[0, 6, 9, 50, 87, 105]",492,1,12,-1.5,TRUE
"22",596,0.5,11.125,14.0416666666666,596,489,493,0.3,"[2, 5]",403,1,-12,-7.5,TRUE
"23",605,0.5,11.125,14.0416666666666,605,512,511,0.3,"[3, 29, 45, 57, 68, 84, 96, 115, 121]",480,1,11,10.5,TRUE
"24",630,0.5,11.3333333333333,14.0416666666666,630,501,489,0.3,"[4, 12, 22, 74, 191]",556,1,0,-11.5,TRUE
"25",633,0.5,11.375,14.0416666666666,633,498,507,0.3,"[25, 33]",139,1,-3,6.5,TRUE
"26",649,0.5,11.5,14.0416666666666,649,492,490,0.3,"[2, 5, 89, 111, 136, 174, 188]",582,1,-9,-10.5,TRUE
"27",684,0.5,11.7083333333333,14.0416666666666,684,510,490,0.3,"[4, 12, 22, 124, 145, 184, 211]",485,1,9,-10.5,TRUE
"28",699,0.5,11.7916666666666,14.0416666666666,699,498,489,0.3,"[4, 12, 22, 26, 55, 78, 86, 110, 141]",577,1,-3,-11.5,TRUE
"29",737,0.5,12.0416666666666,14.0416666666666,737,485,495,0.3,"[2, 5, 53, 61, 72, 123, 147, 186]",724,1,-16,-5.5,TRUE
"30",760,0.5,12.2083333333333,14.0416666666666,760,486,502,0.3,"[2, 5, 65, 94, 213, 223, 255]",690,1,-15,1.5,TRUE
"31",781,0.5,12.2916666666666,14.0416666666666,781,487,493,0.3,"[2, 5]",559,1,-14,-7.5,TRUE
"32",789,0.5,12.375,14.0416666666666,789,506,516,0.3,"[3, 69, 82, 131, 160, 197, 202]",657,1,5,15.5,TRUE
"33",819,0.5,12.5,14.0416666666666,819,486,503,0.3,"[2, 5, 65, 94, 213, 223, 255]",760,1,-15,2.5,TRUE
"34",832,0.5,12.5833333333333,14.0416666666666,832,515,509,0.3,"[3, 29, 45, 57, 68, 84, 96, 115, 121]",678,1,14,8.5,TRUE
"35",872,0.5,12.8333333333333,14.0416666666666,872,486,510,0.3,"[2, 5, 65, 158, 215]",807,1,-15,9.5,TRUE
"36",880,0.5,12.875,14.0416666666666,880,492,489,0.3,"[2, 5, 89, 111, 136, 174]",564,1,-9,-11.5,TRUE
"37",884,0.5,12.9166666666666,14.0416666666666,884,485,510,0.3,"[25, 33, 49, 59, 97, 122, 199, 229]",871,1,-16,9.5,TRUE
"38",925,0.5,13.1666666666666,14.0416666666666,925,494,487,0.3,"[2, 5, 89, 111, 136]",686,1,-7,-13.5,TRUE
"39",926,0.5,13.1666666666666,14.0416666666666,926,486,498,0.3,"[2, 5, 53, 61, 72, 123, 147]",826,1,-15,-2.5,TRUE
"40",948,0.5,13.2499999999999,14.0416666666666,948,515,494,0.3,"[0, 6, 9, 15, 23, 70, 170]",901,1,14,-6.5,TRUE
"41",950,0.5,13.2499999999999,14.0416666666666,950,487,489,0.3,"[2, 5, 89, 111]",797,1,-14,-11.5,TRUE
"42",956,0.5,13.2916666666666,14.0416666666666,956,515,503,0.3,"[0, 6, 9, 50, 87, 105, 117, 168, 203, 306]",687,1,14,2.5,TRUE
"43",973,0.5,13.4166666666666,14.0416666666666,973,513,514,0.3,"[3, 29, 45, 57, 68, 84, 96, 115, 208, 242, 298]",799,1,12,13.5,TRUE
"44",977,0.5,13.4583333333333,14.0416666666666,977,486,489,0.3,"[2, 5, 89, 111]",952,1,-15,-11.5,TRUE
"45",1020,0.5,13.6666666666666,14.0416666666666,1020,514,491,0.3,"[4, 12, 22, 124, 145, 184]",883,1,13,-9.5,TRUE
"46",1024,0.5,13.7083333333333,14.0416666666666,1024,510,484,0.3,"[4, 12, 22, 124, 167, 180, 190, 209, 281]",853,1,9,-16.5,TRUE
"47",1031,0.5,13.7499999999999,14.0416666666666,1031,516,501,0.3,"[0, 6, 9, 46, 73, 127, 144, 226, 312]",860,1,15,0.5,TRUE
"48",1039,0.5,13.7916666666666,14.0416666666666,1039,517,504,0.3,"[0, 6, 9, 35, 47, 83, 100, 125, 161, 299]",975,1,16,3.5,TRUE
"49",1084,0.5,13.9999999999999,14.0416666666666,1084,504,483,0.3,"[4, 12, 22, 124, 167, 180, 190, 218, 305]",962,1,3,-17.5,TRUE
"50",1090,0.5,14.0416666666666,14.0416666666666,1090,510,483,0.3,"[4, 12, 22, 124, 167, 180, 190, 209, 281]",1085,1,9,-17.5,TRUE
